"","df","AIC","BIC","col_3"
"lm_full1",35,500075.616515319,500360.048603954,0.751509671949319
"bestmod1",35,-7673.59714512611,-7389.16505649135,0.827812833616781
"bestmod2",23,-6686.41670108,-6499.50418569144,0.820791713450958
"bestmod_out",23,-6861.61101873044,-6674.70770518237,0.822018723953139
